"","Count","LBA","LF","DIST_YEAR","DIST_TYPE","TYPE_CONFIDENCE","SEVERITY","SOURCE1","SOURCE2","SOURCE3","SOURCE4","DESCRIPTION","DIST_GROUP","DIST_FIRE","hectares"
"100",39595,9999,493,2011,"Prescribed Fire","High","High","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Prescribed Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Prescribed Fire","Disturbance-Fire",3563.55
"101",2289,1,961,2011,"Other Mechanical","High","Low","Refresh Events",NA,NA,NA,"Within Other Mechanical Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low.","Mechanical","Disturbance-Not Fire",206.01
"102",7419,1,461,2011,"Other Mechanical","High","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Other Mechanical Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Mechanical","Disturbance-Not Fire",667.71
"103",4387,9999,792,2011,"Prescribed Fire","Medium","Medium","Refresh Events","dNBR",NA,NA,"Prescribed Fire causality likely, but could be other causality type than assigned (MIICA pixels within Prescribed Fire Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Prescribed Fire","Disturbance-Fire",394.83
"104",4427,9999,793,2011,"Prescribed Fire","Medium","High","Refresh Events","dNBR",NA,NA,"Prescribed Fire causality likely, but could be other causality type than assigned (MIICA pixels within Prescribed Fire Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Prescribed Fire","Disturbance-Fire",398.43
"105",117840,1,501,2011,"Wildland Fire","High","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Wildland Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",10605.6
"106",53628,1,502,2011,"Wildland Fire","High","Medium","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Wildland Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",4826.52
"107",77273,1,503,2011,"Wildland Fire","High","High","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Wildland Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",6954.57
"108",22132,1,1001,2011,"Wildland Fire","High","Low","Refresh Events",NA,NA,NA,"Within Wildland Fire Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low.","Wildfire","Disturbance-Fire",1991.88
"109",5401,9999,742,2011,"Thinning","Medium","Medium","Refresh Events","dNBR",NA,NA,"Thinning causality likely, but could be other causality type than assigned (MIICA pixels within Thinning Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Thinning","Disturbance-Not Fire",486.09
"110",15412,1,771,2011,"Wildfire","Medium","Low","Refresh Events","dNBR",NA,NA,"Wildfire causality likely, but could be other causality type than assigned (MIICA pixels within Wildfire Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",1387.08
"111",475541,1,471,2011,"Wildfire","High","Low","Refresh Events","MIICA","dNBR",NA,"MIICA identified disturbance within Wildfire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.","Wildfire","Disturbance-Fire",42798.69
"112",9751,1,702,2011,"Unknown","N/A","Medium","MIICA","PAD","dNBR",NA,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints.","Unknown","Disturbance-Not Fire",877.59
